TA,num_courses,new_courses,num_man,new_man
JK,3,1,2,0
AG,0,0,1,0
AC,3,3,3,0
AET,3,3,3,1
SW,3,3,1,0
BS,3,3,2,2
EB,3,3,1,0
LM,3,3,2,2
DJ,0,0,0,0
KX,0,0,0,0
AL,3,3,2,2
CJH,3,3,3,0
SE,3,3,1,0
Mfa,3,3,3,2
MxD,3,3,3,1
AT,3,3,1,0
AA,3,3,1,1
ML,4,4,1,1
NP,3,3,2,2
WL,3,3,2,0
AD,3,3,1,0
MB,3,3,1,0
RL,3,3,2,0
EE,3,3,1,0
LS,3,3,2,0
JP,4,4,1,1
AE,3,3,0,0
RLa,3,3,2,0
SK,3,3,1,0
YW,3,3,0,0
LL,3,3,1,0
ZZ,3,3,2,0
YC,3,2,3,0
HZ,3,3,2,0
AS,3,3,3,0
GP,3,3,2,1
YZ,3,3,1,1
BA,3,3,0,0
JZ,3,3,2,0
MR,3,3,3,1
KEK,4,4,1,0
PL,3,3,0,0
GAW,3,3,2,1
Ebr,4,4,2,2
SD,3,3,1,1
RK,3,3,1,1
ASH,3,3,1,1
KiA,3,3,2,2
TBD,3,3,0,0
LK,3,3,1,0
KC,3,3,0,0
