TA,Target,Assigned
JK,274,288
AG,153,44
AC,234,400
AET,335,355
SW,104,74
BS,175,353
EB,117,206
LM,175,246
DJ,39,0
KX,0,0
AL,263,130
CJH,308,455
SE,54,92
Mfa,393,471
MxD,281,479
AT,99,104
AA,54,54
ML,0,125
NP,404,310
WL,477,264
AD,51,148
MB,152,140
RL,360,378
EE,13,124
LS,275,266
JP,137,84
AE,113,0
RLa,298,266
SK,156,157
YW,-30,0
LL,288,125
ZZ,350,456
YC,325,280
HZ,181,273
AS,333,349
GP,257,200
YZ,125,114
BA,-161,0
JZ,118,28
MR,293,170
KEK,188,309
PL,-29,0
GAW,328,380
Ebr,202,244
SD,0,66
RK,88,80
ASH,0,150
KiA,0,77
TBD,0,0
LK,88,84
KC,175,0
