TA,num_courses,new_courses,num_man,new_man
JK,3,3,1,0
HH,3,3,2,2
AC,2,2,3,0
AET,3,3,1,0
SW,3,2,1,0
BS,3,3,2,0
EB,3,3,1,0
LM,3,3,2,1
DJ,3,3,2,2
FP,3,3,2,2
AL,3,3,2,2
CJH,3,3,2,1
SE,3,3,2,1
Mfa,3,3,3,0
MxD,3,3,2,2
LK,3,3,2,1
AA,3,3,1,0
HN,1,1,0,0
NP,3,3,2,2
WL,3,2,3,1
KC,3,3,2,2
IB,3,3,1,1
MV,3,3,1,1
JZ,3,3,1,1
FR,3,3,1,1
KT,2,2,0,0
ML,3,3,1,0
YS,3,3,1,1
MA,3,3,1,1
KiA,3,3,0,0
LL,3,3,0,0
ZZ,3,3,1,0
YC,3,3,3,1
AB,3,3,0,0
AS,3,3,2,0
GP,3,2,2,0
YZ,3,3,1,0
BA,3,3,0,0
MR,3,3,2,0
KEK,3,3,1,0
PL,3,3,0,0
GAW,3,3,2,0
Ebr,3,3,1,0
SD,3,3,0,0
RK,0,0,1,0
ZL,3,3,0,0
