TA,num_courses,new_courses,num_man,new_man
JK,3,3,1,0
HH,3,3,1,0
AC,3,3,3,0
AET,3,3,2,1
SW,3,3,1,0
BS,3,3,2,0
EB,3,3,1,0
LM,3,3,2,0
DJ,3,3,2,0
FP,3,2,2,0
ZL,3,3,3,3
CJH,3,3,1,0
KT,3,3,3,3
IS,3,3,1,1
MA,3,3,1,0
LK,3,3,2,0
ML,3,3,1,0
HN,3,3,1,1
NP,3,3,2,0
WL,3,3,3,0
KC,3,3,1,0
IB,3,3,3,2
MV,3,3,2,2
JZ,3,3,1,1
FR,3,3,4,3
GP,3,2,2,0
AS,3,2,1,0
GAW,3,3,2,0
Ebr,3,2,1,0
SD,3,3,0,0
RK,3,3,0,0
MR,3,3,0,0
KEK,3,3,1,0
PL,3,3,0,0
AB,3,3,2,2
NH,3,3,3,3
Mec1,3,3,0,0
Aut1,3,3,0,0
LN,3,3,2,2
IK,3,3,3,3
AA,3,2,1,0
ALL,3,3,1,1
AL,3,2,1,1
QZ,3,3,1,1
Mec2,0,0,0,0
Mec3,0,0,0,0
